index,/gantry/pitch/target,/gantry/pitch/measurement,/gantry/pitch/control_velocity,/gantry/imu/roll,/gantry/imu/pitch,/gantry/imu/yaw,/dart/left_motor/angle,/dart/left_motor/velocity,/dart/left_motor/control_velocity,/dart/left_motor/torque,/dart/left_motor/control_torque,/dart/right_motor/angle,/dart/right_motor/velocity,/dart/right_motor/control_velocity,/dart/right_motor/torque,/dart/right_motor/control_torque,/dart/up_motor/angle,/dart/up_motor/velocity,/dart/up_motor/control_velocity,/dart/up_motor/torque,/dart/up_motor/control_torque
14638,2.59025,2.59096,-7.17983,2.59096,-0.0586784,0.169499,-259.184,-6.67007,-7.19723,-0.113928,-0.162367,-259.346,-7.20239,-7.16242,-0.0758057,0.0213503,0.0201761,-0,0,0.00406494,0
14639,2.59022,2.59094,-7.18801,2.59094,-0.05867,0.169513,-259.219,-6.70206,-7.20541,-0.057019,-0.150689,-259.381,-6.85042,-7.1706,-0.100635,-0.0955812,0.0201761,-0,0,0.00406494,0
14640,2.5902,2.59091,-7.16798,2.59091,-0.0586521,0.169516,-259.246,-6.59444,-7.18603,-0.081189,-0.179801,-259.414,-6.35009,-7.14993,-0.0699829,-0.18,0.0201761,-0,0,-0.00109863,0
14641,2.59017,2.59089,-7.19926,2.59089,-0.058653,0.169551,-259.285,-6.46644,-7.21667,-0.150183,-0.18,-259.448,-6.57407,-7.18185,-0.0912964,-0.18,0.0201761,-0,0,0.00109863,0
14642,2.59015,2.59085,-7.00508,2.59085,-0.0586373,0.169554,-259.32,-6.80969,-7.02254,-0.133484,-0.0605853,-259.483,-7.47001,-6.98762,-0.0947021,0.159823,0.0201761,-0,0,-0.00406494,0
14643,2.59012,2.59082,-7.04998,2.59082,-0.0586494,0.169563,-259.353,-6.6817,-7.06761,-0.100525,-0.115384,-259.517,-6.23373,-7.03235,-0.00571289,-0.18,0.0201761,-0,0,0.00109863,0
14644,2.5901,2.5908,-7.00475,2.5908,-0.0587017,0.169562,-259.384,-6.18137,-7.02218,-0.150513,-0.18,-259.547,-6.2221,-6.98732,-0.118542,-0.18,0.0201761,-0,0,0.00109863,0
14645,2.59007,2.59079,-7.19479,2.59079,-0.0586589,0.169584,-259.418,-6.63807,-7.21223,-0.117773,-0.171849,-259.581,-6.91441,-7.17735,-0.107227,-0.0731652,0.0201761,-0,0,0.00406494,0
14646,2.59005,2.59075,-7.03281,2.59075,-0.0586886,0.169588,-259.451,-6.88242,-7.05044,-0.137769,-0.0482807,-259.615,-6.40245,-7.01519,-0.0548218,-0.18,0.0201761,-0,0,-0.00406494,0
14647,2.59002,2.59073,-7.13841,2.59073,-0.0586953,0.169592,-259.484,-6.31809,-7.15667,-0.124255,-0.18,-259.654,-6.43445,-7.12016,-0.123596,-0.18,0.0201761,-0,0,0.00109863,0
14648,2.59,2.59073,-7.33933,2.59073,-0.0586771,0.169627,-259.518,-6.83006,-7.35724,-0.108765,-0.157025,-259.685,-6.28609,-7.32143,-0.182703,-0.18,0.0201761,-0,0,0.00109863,0
14649,2.58997,2.59068,-7.09023,2.59068,-0.0586676,0.169628,-259.551,-6.93768,-7.10822,-0.15293,-0.0512123,-259.72,-7.38274,-7.07223,-0.0162598,0.10235,0.0201761,-0,0,0.00109863,0
14650,2.58995,2.59066,-7.1139,2.59066,-0.0586639,0.169642,-259.584,-6.42572,-7.13219,-0.141833,-0.18,-259.755,-6.80969,-7.09561,-0.1203,-0.0862798,0.0201761,-0,0,0.00109863,0
14651,2.58992,2.59063,-7.13121,2.59063,-0.0587013,0.169653,-259.617,-6.70206,-7.14934,-0.10415,-0.132562,-259.787,-6.38209,-7.11308,-0.131946,-0.18,0.0201761,-0,0,0.00406494,0
14652,2.5899,2.59061,-7.20417,2.59061,-0.058688,0.169643,-259.65,-6.72243,-7.22168,-0.134912,-0.152822,-259.814,-6.32973,-7.18667,-0.135022,-0.18,0.0201761,-0,0,0.00406494,0
14653,2.58987,2.5906,-7.29198,2.5906,-0.0586964,0.169689,-259.684,-6.60607,-7.31023,-0.146338,-0.18,-259.855,-6.92605,-7.27373,-0.117883,-0.102565,0.0201761,-0,0,0.00406494,0
14654,2.58985,2.59054,-6.97284,2.59054,-0.0586865,0.169721,-259.718,-7.06277,-6.99099,-0.0587769,0.0273825,-259.888,-6.54208,-6.95468,-0.132385,-0.132592,0.0201761,-0,0,0.00109863,0
14655,2.58982,2.59053,-7.06939,2.59053,-0.0586921,0.169725,-259.753,-6.95805,-7.08751,-0.130627,-0.0342306,-259.922,-6.70206,-7.05127,-0.0375732,-0.104458,0.0201761,-0,0,-0.00109863,0
14656,2.5898,2.59051,-7.15556,2.59051,-0.0586545,0.169763,-259.785,-6.37045,-7.17387,-0.152271,-0.18,-259.956,-7.31002,-7.13724,-0.0660278,0.0615107,0.0201761,-0,0,0.00109863,0
14657,2.58977,2.59046,-6.89274,2.59046,-0.0586813,0.169754,-259.819,-6.75442,-6.91097,-0.0729492,-0.0445108,-259.989,-6.37045,-6.87452,-0.0833862,-0.159948,0.0201761,-0,0,0.00406494,0
14658,2.58975,2.59042,-6.67961,2.59042,-0.0587003,0.169749,-259.853,-6.89405,-6.69764,-0.0756958,0.0637368,-260.021,-6.31809,-6.66157,-0.040979,-0.102329,0.0201761,-0,0,-0.00406494,0
14659,2.58972,2.59041,-6.90409,2.59041,-0.0587056,0.169781,-259.885,-6.26573,-6.92227,-0.0860229,-0.18,-260.055,-7.03077,-6.8859,-0.0585571,0.051635,0.0201761,-0,0,0.00406494,0
14660,2.5897,2.59042,-7.22054,2.59042,-0.0587203,0.169802,-259.918,-6.20174,-7.23879,-0.153369,-0.18,-260.088,-6.27446,-7.20229,-0.130847,-0.18,0.0201761,-0,0,0.00109863,0
14661,2.58967,2.59041,-7.37533,2.59041,-0.0587361,0.169822,-259.95,-6.53044,-7.39352,-0.137439,-0.18,-260.12,-6.58571,-7.35715,-0.0658081,-0.18,0.0201761,-0,0,-0.00406494,0
14662,2.58965,2.59039,-7.47086,2.59039,-0.0587523,0.169835,-259.983,-6.57407,-7.48919,-0.131287,-0.18,-260.154,-6.44608,-7.45252,-0.12052,-0.18,0.0201761,-0,0,-0.00406494,0
14663,2.58962,2.59036,-7.38599,2.59036,-0.0587376,0.169881,-260.018,-7.11803,-7.40405,-0.123706,-0.0822067,-260.187,-6.45772,-7.36793,-0.127881,-0.18,0.0201761,-0,0,0.0270264,0
14664,2.5896,2.59033,-7.35626,2.59033,-0.0587591,0.169889,-260.053,-6.95805,-7.37417,-0.0999756,-0.126216,-260.221,-6.78642,-7.33834,-0.0371338,-0.163561,0.0201761,-0,0,-0.00406494,0
14665,2.58957,2.5903,-7.33855,2.5903,-0.0587586,0.169875,-260.087,-6.56244,-7.35655,-0.0817383,-0.18,-260.255,-6.61771,-7.32054,-0.0896484,-0.18,0.0201761,-0,0,0.00109863,0
14666,2.58955,2.59026,-7.1463,2.59026,-0.0587116,0.169898,-260.121,-6.7137,-7.16429,-0.141833,-0.13752,-260.289,-6.36173,-7.12831,-0.104041,-0.18,0.0201761,-0,0,-0.00109863,0
14667,2.58952,2.59027,-7.45699,2.59027,-0.0587207,0.169886,-260.157,-7.18203,-7.47496,-0.0856934,-0.0863636,-260.324,-7.20239,-7.43901,-0.0785522,-0.0679795,0.0201761,-0,0,-0.00406494,0
14668,2.5895,2.59024,-7.47044,2.59024,-0.0587405,0.169905,-260.191,-6.88242,-7.48822,-0.152051,-0.18,-260.357,-7.70272,-7.45266,-0.134912,0.0762904,0.0201761,-0,0,-0.00406494,0
14669,2.58947,2.59022,-7.53616,2.59022,-0.0587775,0.169923,-260.226,-6.83006,-7.55396,-0.081189,-0.18,-260.392,-6.24246,-7.51835,-0.0840454,-0.18,0.0201761,-0,0,-0.00406494,0
14670,2.58945,2.5902,-7.53334,2.5902,-0.0587811,0.16993,-260.262,-6.7137,-7.5511,-0.118542,-0.18,-260.427,-7.40601,-7.51559,-0.118542,-0.0206135,0.0201761,-0,0,-0.00109863,0
14671,2.58942,2.59018,-7.59989,2.59018,-0.0587575,0.169967,-260.303,-7.42638,-7.6166,-0.116895,-0.0532172,-260.459,-6.99004,-7.58318,-0.155347,-0.179975,0.0201761,-0,0,-0.00406494,0
14672,2.5894,2.59015,-7.53883,2.59015,-0.0587793,0.169952,-260.332,-7.21403,-7.55619,-0.125134,-0.104378,-260.493,-7.92379,-7.52147,-0.0877808,0.124955,0.0201761,-0,0,0.00109863,0
14673,2.58937,2.59013,-7.59422,2.59013,-0.0587394,0.169963,-260.374,-6.99004,-7.61143,-0.0515259,-0.18,-260.535,-6.69043,-7.57702,-0.142493,-0.18,0.0201761,-0,0,-0.00406494,0
14674,2.58935,2.59011,-7.65085,2.59011,-0.0587409,0.169945,-260.403,-7.22275,-7.66802,-0.125354,-0.132251,-260.563,-6.30646,-7.63367,-0.103162,-0.18,0.0201761,-0,0,0.00109863,0
14675,2.58932,2.59009,-7.71795,2.59009,-0.0587433,0.169963,-260.446,-6.92605,-7.73504,-0.108655,-0.18,-260.605,-7.06277,-7.70085,-0.094812,-0.18,0.0201761,-0,0,0.00109863,0
14676,2.5893,2.59007,-7.75996,2.59007,-0.0587538,0.169963,-260.481,-7.23439,-7.77702,-0.0862427,-0.162811,-260.64,-6.53044,-7.74289,-0.135681,-0.18,0.0201761,-0,0,0.00109863,0
14677,2.58927,2.59005,-7.7623,2.59005,-0.0587509,0.169974,-260.518,-7.49037,-7.77931,-0.0644897,-0.0806068,-260.676,-6.49844,-7.7453,-0.107227,-0.18,0.0201761,-0,0,0.00406494,0
